"plate_id","batch","temperature","day","isolate","biorep","media","dilution","time","platingrep","counted_colonies","concentration_from_sphereflash","dilution_factor"
"B8_10_4_S12-0116_1_BHIrif_-1_24_2","B8","10",4,"S12-0116",1,"BHIrif",-1,"24",2,4,800,10
"B8_10_4_S12-0141_1_BHI_-2_24_1","B8","10",4,"S12-0141",1,"BHI",-2,"24",1,176,1646357.625,113
"B8_10_4_S12-0141_1_BHIrif_-1_24_2","B8","10",4,"S12-0141",1,"BHIrif",-1,"24",2,40,8800,11
"B8_10_4_S12-0141_1_BHIrif_-1_24_1","B8","10",4,"S12-0141",1,"BHIrif",-1,"24",1,14,3080,11
"B8_10_4_S12-0132_1_BHI_-2_24_1","B8","10",4,"S12-0132",1,"BHI",-2,"24",1,93,206460,111
"B8_10_4_S12-0132_1_BHIrif_-1_24_2","B8","10",4,"S12-0132",1,"BHIrif",-1,"24",2,1,220,11
"B8_10_6_S12-0116_1_BHIrif_-3_24_1","B8","10",6,"S12-0116",1,"BHIrif",-3,"24",1,3,65340,1089
"B8_10_6_S12-0132_1_BHIrif_-1_24_2","B8","10",6,"S12-0132",1,"BHIrif",-1,"24",2,4,800,10
"B8_10_6_S12-0132_1_BHIrif_-1_24_1","B8","10",6,"S12-0132",1,"BHIrif",-1,"24",1,3,600,10
"B8_10_6_S12-0116_1_BHI_-3_24_1","B8","10",6,"S12-0116",1,"BHI",-3,"24",1,112,2439360,1089
"B8_10_6_S12-0116_1_BHIrif_-1_24_2","B8","10",6,"S12-0116",1,"BHIrif",-1,"24",2,190,41800,11
"B8_10_6_S12-0141_1_BHI_-5_24_1","B8","10",6,"S12-0141",1,"BHI",-5,"24",1,17,36445280,107192
"B8_10_6_S12-0141_1_BHIrif_-2_24_2","B8","10",6,"S12-0141",1,"BHIrif",-2,"24",2,175,2907608.75,107
"B8_10_6_S12-0141_1_BHIrif_-2_24_1","B8","10",6,"S12-0141",1,"BHIrif",-2,"24",1,277,2453559.75,107
"B8_10_6_S12-0132_1_BHI_-3_24_1","B8","10",6,"S12-0132",1,"BHI",-3,"24",1,237,19579968,998
"B8_10_9_S12-0116_1_BHIrif_-1_24_1","B8","10",9,"S12-0116",1,"BHIrif",-1,"24",1,210,191225.1719,11
"B8_10_9_S12-0116_1_BHIrif_-1_24_2","B8","10",9,"S12-0116",1,"BHIrif",-1,"24",2,243,221274.8438,11
"B8_10_9_S12-0116_1_BHI_-5_24_1","B8","10",9,"S12-0116",1,"BHI",-5,"24",1,25,5.5e+07,110000
"B8_10_9_S12-0132_1_BHIrif_-3_24_2","B8","10",9,"S12-0132",1,"BHIrif",-3,"24",2,256,13944204,1109
"B8_10_9_S12-0132_1_BHIrif_-3_24_1","B8","10",9,"S12-0132",1,"BHIrif",-3,"24",1,247,13453978,1109
"B8_10_9_S12-0132_1_BHI_-5_24_1","B8","10",9,"S12-0132",1,"BHI",-5,"24",1,66,146384032,110897
"B8_10_9_S12-0141_1_BHIrif_-3_24_1","B8","10",9,"S12-0141",1,"BHIrif",-3,"24",1,212,6644678,1013
"B8_10_9_S12-0141_1_BHIrif_-3_24_2","B8","10",9,"S12-0141",1,"BHIrif",-3,"24",2,196,6143193,1013
"B8_10_9_S12-0141_1_BHI_-5_24_1","B8","10",9,"S12-0141",1,"BHI",-5,"24",1,36,72920160,101278
"B8_10_12_S12-0116_1_BHIrif_-4_24_1","B8","10",12,"S12-0116",1,"BHIrif",-4,"24",1,18,3920400,10890
"B8_10_12_S12-0116_1_BHIrif_-4_24_2","B8","10",12,"S12-0116",1,"BHIrif",-4,"24",2,26,5662800,10890
"B8_10_12_S12-0116_1_BHI_-5_24_1","B8","10",12,"S12-0116",1,"BHI",-5,"24",1,17,37026340,108901
"B8_10_12_S12-0132_1_BHIrif_-4_24_1","B8","10",12,"S12-0132",1,"BHIrif",-4,"24",1,53,10795040,10184
"B8_10_12_S12-0132_1_BHIrif_-4_24_2","B8","10",12,"S12-0132",1,"BHIrif",-4,"24",2,41,8350880,10184
"B8_10_12_S12-0132_1_BHI_-5_24_1","B8","10",12,"S12-0132",1,"BHI",-5,"24",1,74,150718752,101837
"B8_10_12_S12-0141_1_BHIrif_-2_24_1","B8","10",12,"S12-0141",1,"BHIrif",-2,"24",1,245,10431641,109
"B8_10_12_S12-0141_1_BHIrif_-2_24_2","B8","10",12,"S12-0141",1,"BHIrif",-2,"24",2,240,10218750,109
"B8_10_12_S12-0141_1_BHI_-5_24_1","B8","10",12,"S12-0141",1,"BHI",-5,"24",1,206,450748608,109405
"B8_10_15_S12-0116_1_BHIrif_-4_24_1","B8","10",15,"S12-0116",1,"BHIrif",-4,"24",1,90,19218600,10677
"B8_10_15_S12-0141_1_BHI_-6_24_1","B8","10",15,"S12-0141",1,"BHI",-6,"24",1,17,397420544,1168884
"B8_10_15_S12-0141_1_BHIrif_-4_24_2","B8","10",15,"S12-0141",1,"BHIrif",-4,"24",2,41,9584980,11689
"B8_10_15_S12-0141_1_BHIrif_-4_24_1","B8","10",15,"S12-0141",1,"BHIrif",-4,"24",1,28,6545840,11689
"B8_10_15_S12-0132_1_BHI_-6_24_1","B8","10",15,"S12-0132",1,"BHI",-6,"24",1,82,1896394240,1156338
"B8_10_15_S12-0132_1_BHIrif_-4_24_2","B8","10",15,"S12-0132",1,"BHIrif",-4,"24",2,67,15494420,11563
"B8_10_15_S12-0132_1_BHIrif_-4_24_1","B8","10",15,"S12-0132",1,"BHIrif",-4,"24",1,82,18963320,11563
"B8_10_15_S12-0116_1_BHI_-6_24_1","B8","10",15,"S12-0116",1,"BHI",-6,"24",1,78,1665677440,1067742
"B8_10_15_S12-0116_1_BHIrif_-4_24_2","B8","10",15,"S12-0116",1,"BHIrif",-4,"24",2,107,22848780,10677
"B8_10_18_S12-0116_1_BHIrif_-4_24_1","B8","10",18,"S12-0116",1,"BHIrif",-4,"24",1,205,195394864,11514
