"plate_id","batch","temperature","day","isolate","biorep","media","time","average_wrangled_conc","log_average_wrangled_conc","death_phase"
"B7_6_21_S12-0180_3_BHI_-6_24_1","B7",6,21,"S12-0180",3,"BHI",24,3451091200,9.53795643629334,"no"
"B7_6_24_S12-0166_3_BHI_-6_24_1","B7",6,24,"S12-0166",3,"BHI",24,5912792064,9.7717926063718,"no"
"B7_6_24_S12-0184_3_BHI_-6_24_1","B7",6,24,"S12-0184",3,"BHI",24,2326383360,9.3666812827974,"no"
"B7_6_24_S12-0180_3_BHI_-6_24_1","B7",6,24,"S12-0180",3,"BHI",24,6546050048,9.81597932139471,"no"
"B7_6_27_S12-0166_3_BHI_-6_24_1","B7",6,27,"S12-0166",3,"BHI",24,5638264832,9.75114547103452,"no"
"B7_6_27_S12-0184_3_BHI_-6_24_1","B7",6,27,"S12-0184",3,"BHI",24,8634988544,9.93626176572735,"no"
"B7_6_27_S12-0180_3_BHI_-6_24_1","B7",6,27,"S12-0180",3,"BHI",24,6295378944,9.79902187714998,"no"
"B7_6_30_S12-0166_3_BHI_-6_24_1","B7",6,30,"S12-0166",3,"BHI",24,5814436352,9.76450762085628,"no"
"B7_6_30_S12-0180_3_BHI_-6_24_1","B7",6,30,"S12-0180",3,"BHI",24,3665887744,9.56417916196068,"no"
"B9_10_0_S12-0166_1_BHI_-3_24_1","B9",10,0,"S12-0166",1,"BHI",24,1990920,6.29905380937116,"no"
"B9_10_0_S12-0184_1_BHI_-3_24_1","B9",10,0,"S12-0184",1,"BHI",24,410800,5.61363043492524,"no"
"B9_10_0_S12-0180_1_BHI_-3_24_1","B9",10,0,"S12-0180",1,"BHI",24,1141160,6.05734654033894,"no"
"B9_10_1_S12-0166_1_BHI_-3_24_1","B9",10,1,"S12-0166",1,"BHI",24,1393920,6.14423784940364,"no"
"B9_10_1_S12-0184_1_BHI_-1_24_1","B9",10,1,"S12-0184",1,"BHI",24,74535.89063,4.87236544522073,"no"
"B9_10_1_S12-0180_1_BHI_-3_24_1","B9",10,1,"S12-0180",1,"BHI",24,1018000,6.00774777800074,"no"
"B9_10_2_S12-0166_1_BHI_-3_24_1","B9",10,2,"S12-0166",1,"BHI",24,13433399,7.12818591439425,"no"
"B9_10_2_S12-0184_1_BHI_-3_24_1","B9",10,2,"S12-0184",1,"BHI",24,81798832,7.91274710245401,"no"
"B9_10_2_S12-0180_1_BHI_-3_24_1","B9",10,2,"S12-0180",1,"BHI",24,2911480,6.46411381112978,"no"
"B9_10_3_S12-0166_1_BHI_-4_24_1","B9",10,3,"S12-0166",1,"BHI",24,8569680,6.93296460525705,"no"
"B9_10_3_S12-0184_1_BHI_-4_24_1","B9",10,3,"S12-0184",1,"BHI",24,3354000,6.52556305827007,"no"
"B9_10_3_S12-0180_1_BHI_-4_24_1","B9",10,3,"S12-0180",1,"BHI",24,4127400,6.61567655983325,"no"
"B9_10_4_S12-0166_1_BHI_-5_24_1","B9",10,4,"S12-0166",1,"BHI",24,35707480,7.55275920161502,"no"
"B9_10_4_S12-0184_1_BHI_-5_24_1","B9",10,4,"S12-0184",1,"BHI",24,36688320,7.5645278253718,"no"
"B9_10_4_S12-0180_1_BHI_-5_24_1","B9",10,4,"S12-0180",1,"BHI",24,245669840,8.39035184298575,"no"
"B9_10_6_S12-0180_1_BHI_-5_24_1","B9",10,6,"S12-0180",1,"BHI",24,146832800,8.16682308056545,"no"
"B9_10_6_S12-0184_1_BHI_-5_24_1","B9",10,6,"S12-0184",1,"BHI",24,299233280,8.47600989305805,"no"
"B9_10_9_S12-0166_1_BHI_-6_24_1","B9",10,9,"S12-0166",1,"BHI",24,1236332032,9.09213512148127,"no"
"B9_10_9_S12-0184_1_BHI_-6_24_1","B9",10,9,"S12-0184",1,"BHI",24,364158304,8.56129021773738,"no"
"B9_10_9_S12-0180_1_BHI_-6_24_1","B9",10,9,"S12-0180",1,"BHI",24,7.04e+08,8.84757265914211,"no"
"B9_10_12_S12-0166_1_BHI_-6_24_1","B9",10,12,"S12-0166",1,"BHI",24,7546373120,9.8777382744869,"no"
"B9_10_12_S12-0180_1_BHI_-6_24_1","B9",10,12,"S12-0180",1,"BHI",24,3577467392,9.55357568393035,"no"
"B9_10_12_S12-0184_1_BHI_-6_24_1","B9",10,12,"S12-0184",1,"BHI",24,2061704320,9.31422638092805,"no"
"B9_10_15_S12-0166_1_BHI_-6_24_1","B9",10,15,"S12-0166",1,"BHI",24,4067362560,9.60931288663851,"no"
"B9_10_15_S12-0180_1_BHI_-6_24_1","B9",10,15,"S12-0180",1,"BHI",24,1295383936,9.11239850708424,"no"
"B9_10_15_S12-0184_1_BHI_-6_24_1","B9",10,15,"S12-0184",1,"BHI",24,10485134336,10.0205739990369,"no"
"B9_10_18_S12-0166_1_BHI_-6_24_1","B9",10,18,"S12-0166",1,"BHI",24,5089567744,9.70668089935697,"no"
"B9_10_18_S12-0180_1_BHI_-6_24_1","B9",10,18,"S12-0180",1,"BHI",24,7447703040,9.87202235182661,"no"
"B9_10_18_S12-0184_1_BHI_-6_24_1","B9",10,18,"S12-0184",1,"BHI",24,6618371584,9.82075114667855,"no"
"B9_10_21_S12-0166_1_BHI_-6_24_1","B9",10,21,"S12-0166",1,"BHI",24,2803478784,9.447697273819,"no"
"B9_10_21_S12-0180_1_BHI_-6_24_1","B9",10,21,"S12-0180",1,"BHI",24,3286900480,9.51678655481447,"no"
"B9_10_24_S12-0166_1_BHI_-6_24_1","B9",10,24,"S12-0166",1,"BHI",24,2751114752,9.4395087056645,"no"
"B9_10_24_S12-0180_1_BHI_-6_24_1","B9",10,24,"S12-0180",1,"BHI",24,2595175680,9.41416676267468,"no"
